img,label
CamVid/701_StillsRaw_full/0006R0_f01860.png,CamVid/Labeled_idx/0006R0_f01860_L.png.npy
CamVid/701_StillsRaw_full/0016E5_04950.png,CamVid/Labeled_idx/0016E5_04950_L.png.npy
CamVid/701_StillsRaw_full/0016E5_06210.png,CamVid/Labeled_idx/0016E5_06210_L.png.npy
CamVid/701_StillsRaw_full/0001TP_007890.png,CamVid/Labeled_idx/0001TP_007890_L.png.npy
CamVid/701_StillsRaw_full/0001TP_009270.png,CamVid/Labeled_idx/0001TP_009270_L.png.npy
CamVid/701_StillsRaw_full/0016E5_02010.png,CamVid/Labeled_idx/0016E5_02010_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f04020.png,CamVid/Labeled_idx/Seq05VD_f04020_L.png.npy
CamVid/701_StillsRaw_full/0001TP_008460.png,CamVid/Labeled_idx/0001TP_008460_L.png.npy
CamVid/701_StillsRaw_full/0001TP_006900.png,CamVid/Labeled_idx/0001TP_006900_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f02760.png,CamVid/Labeled_idx/Seq05VD_f02760_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f01950.png,CamVid/Labeled_idx/Seq05VD_f01950_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f00660.png,CamVid/Labeled_idx/Seq05VD_f00660_L.png.npy
CamVid/701_StillsRaw_full/0001TP_007140.png,CamVid/Labeled_idx/0001TP_007140_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f02040.png,CamVid/Labeled_idx/0006R0_f02040_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08127.png,CamVid/Labeled_idx/0016E5_08127_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f03720.png,CamVid/Labeled_idx/Seq05VD_f03720_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f04080.png,CamVid/Labeled_idx/Seq05VD_f04080_L.png.npy
CamVid/701_StillsRaw_full/0001TP_008310.png,CamVid/Labeled_idx/0001TP_008310_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08310.png,CamVid/Labeled_idx/0016E5_08310_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08081.png,CamVid/Labeled_idx/0016E5_08081_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f04680.png,CamVid/Labeled_idx/Seq05VD_f04680_L.png.npy
CamVid/701_StillsRaw_full/0001TP_007590.png,CamVid/Labeled_idx/0001TP_007590_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f00180.png,CamVid/Labeled_idx/Seq05VD_f00180_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f02850.png,CamVid/Labeled_idx/0006R0_f02850_L.png.npy
CamVid/701_StillsRaw_full/0006R0_f03060.png,CamVid/Labeled_idx/0006R0_f03060_L.png.npy
CamVid/701_StillsRaw_full/0016E5_04620.png,CamVid/Labeled_idx/0016E5_04620_L.png.npy
CamVid/701_StillsRaw_full/0001TP_009870.png,CamVid/Labeled_idx/0001TP_009870_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f04110.png,CamVid/Labeled_idx/Seq05VD_f04110_L.png.npy
CamVid/701_StillsRaw_full/0016E5_04680.png,CamVid/Labeled_idx/0016E5_04680_L.png.npy
CamVid/701_StillsRaw_full/0001TP_009090.png,CamVid/Labeled_idx/0001TP_009090_L.png.npy
CamVid/701_StillsRaw_full/0016E5_06930.png,CamVid/Labeled_idx/0016E5_06930_L.png.npy
CamVid/701_StillsRaw_full/0001TP_009120.png,CamVid/Labeled_idx/0001TP_009120_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f01920.png,CamVid/Labeled_idx/Seq05VD_f01920_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08250.png,CamVid/Labeled_idx/0016E5_08250_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08091.png,CamVid/Labeled_idx/0016E5_08091_L.png.npy
CamVid/701_StillsRaw_full/0016E5_07963.png,CamVid/Labeled_idx/0016E5_07963_L.png.npy
CamVid/701_StillsRaw_full/Seq05VD_f03240.png,CamVid/Labeled_idx/Seq05VD_f03240_L.png.npy
CamVid/701_StillsRaw_full/0001TP_007980.png,CamVid/Labeled_idx/0001TP_007980_L.png.npy
CamVid/701_StillsRaw_full/0016E5_06180.png,CamVid/Labeled_idx/0016E5_06180_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08027.png,CamVid/Labeled_idx/0016E5_08027_L.png.npy
CamVid/701_StillsRaw_full/0001TP_007110.png,CamVid/Labeled_idx/0001TP_007110_L.png.npy
CamVid/701_StillsRaw_full/0016E5_08025.png,CamVid/Labeled_idx/0016E5_08025_L.png.npy
CamVid/701_StillsRaw_full/0001TP_009300.png,CamVid/Labeled_idx/0001TP_009300_L.png.npy
CamVid/701_StillsRaw_full/0016E5_05130.png,CamVid/Labeled_idx/0016E5_05130_L.png.npy
CamVid/701_StillsRaw_full/0016E5_07410.png,CamVid/Labeled_idx/0016E5_07410_L.png.npy
CamVid/701_StillsRaw_full/0001TP_007800.png,CamVid/Labeled_idx/0001TP_007800_L.png.npy
CamVid/701_StillsRaw_full/0016E5_02130.png,CamVid/Labeled_idx/0016E5_02130_L.png.npy
CamVid/701_StillsRaw_full/0001TP_008190.png,CamVid/Labeled_idx/0001TP_008190_L.png.npy
CamVid/701_StillsRaw_full/0016E5_01410.png,CamVid/Labeled_idx/0016E5_01410_L.png.npy
CamVid/701_StillsRaw_full/0016E5_06600.png,CamVid/Labeled_idx/0016E5_06600_L.png.npy
CamVid/701_StillsRaw_full/0016E5_06810.png,CamVid/Labeled_idx/0016E5_06810_L.png.npy
